Nombre,Tipo,Fecha_Desde ,Fecha_Hasta,País,Lugar,Territorio,Entidad,Escenario,Descripcion_del_Evento,Pagina_Web,email
Campeoanto Nacional de Camper Cross,Campeonato Nacional,16/06/2013,16/06/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campaonato Nacional de Piques cuarto de Milla,Campeonato Nacional,16/06/2013,16/06/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Copa Naspal Rally Colombia,Campeonato Nacional,30/06/2013,30/06/2013,COLOMBIA,Susacon , Boyacá,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campaonato Nacional de Trial,Campeonato Nacional,30/06/2013,30/06/2013,COLOMBIA,Guatavita , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campaonato Nacional de Automovilismo,Campeonato Nacional,06/07/2013,07/07/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campaonato Colombiano de Rally,Campeonato Nacional,12/07/2013,13/07/2013,COLOMBIA,Puerto Lopez , Meta,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
XXVI Gran Premio Nacional de Tractomulas,Campeonato Nacional,12/07/2013,14/07/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campaonato TC2000,Campeonato Nacional,21/07/2013,21/07/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Copa Colombia,Campeonato Nacional,27/07/2013,28/07/2013,COLOMBIA,Rionegro , Antioquia,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato Nacional de Camper Cross,Campeonato Nacional,28/07/2013,28/07/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campaonato Nacional de Piques Cuarto de Milla,Campeonato Nacional,28/07/2013,28/07/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Copa Naspal Rally Colombia,Campeonato Nacional,03/08/2013,03/08/2013,COLOMBIA,Susa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato Nacional de Trial,Campeonato Nacional,11/08/2013,11/08/2013,COLOMBIA,Guatavita , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato TC2000,Campeonato Nacional,18/08/2013,18/08/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeoanto Colombiano de Rally,Campeonato Nacional,30/08/2013,01/09/2013,COLOMBIA,Rionegro , Antioquia,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato Nacional de Automovilismo,Campeonato Nacional,31/08/2013,01/09/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato Nacional de Camper Croos,Campeonato Nacional,08/09/2013,08/09/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato Nacional de Piques cuerto de Milla,Campeonato Nacional,08/09/2013,08/09/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Copa Naspal Rally Colombia,Campeonato Nacional,14/09/2013,14/09/2013,COLOMBIA,Puerto Lopez , Meta,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Copa Mac,Campeonato Nacional,21/09/2013,22/09/2013,COLOMBIA,Candelaria , Valle del Cauca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato Nacional de Trial,Campeonato Nacional,22/09/2013,22/09/2013,COLOMBIA,Guatavita , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato TC2000,Campeonato Nacional,29/09/2013,29/09/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato Colombiano de Rally,Campeonato Nacional,04/10/2013,06/10/2013,COLOMBIA,Garzon , Huila,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato TC2000,Campeonato Nacional,20/10/2013,20/10/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Copa Naspal Rally Colombia,Campeonato Nacional,26/10/2013,26/10/2013,COLOMBIA,Sopo , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato Nacional de Automovilismo,Campeonato Nacional,26/10/2013,27/10/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Copa Colombia,Campeonato Nacional,27/10/2013,27/10/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato Nacional de Trial,Campeonato Nacional,27/10/2013,27/10/2013,COLOMBIA,Guatavita , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato Nacional de Camper Cross,Campeonato Nacional,24/11/2013,24/11/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato Nacional de Piques cuarto de Milla,Campeonato Nacional,24/11/2013,24/11/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Campeonato TC2000,Campeonato Nacional,24/11/2013,24/11/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Copa Naspal Rally Colombia,Campeonato Nacional,30/11/2013,30/11/2013,COLOMBIA,Susa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
Copa Mac,Campeonato Nacional,30/11/2013,01/12/2013,COLOMBIA,Candelaria , Valle del Cauca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
6 Horas de Bogota,Campeonato Nacional,07/12/2013,08/12/2013,COLOMBIA,Tocancipa , Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO,,,,
I Valida Liga Nacional,Campeonato Nacional,22/03/2013,24/03/2013,COLOMBIA,Cajica , Cundinamarca,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
XVIII PERÚ INTERNACIONAL 2013,Concentracion Internacional,10/04/2013,14/04/2013,PERU,Lima,,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
III Valida Nacional,Campeonato Nacional,12/04/2013,14/04/2013,COLOMBIA,Popayan , Cauca,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
CAPACITACIÓN EN JUZGAMIENTO,Concentración Nacional,15/04/2013,15/04/2013,COLOMBIA,Circasia , Quindío,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
CAMPAMENTO DE TALENTOS,Concentración Nacional,16/04/2013,18/04/2013,COLOMBIA,Circasia , Quindío,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
II Valida Nacional,Campeonato Nacional,17/04/2013,19/04/2013,COLOMBIA,Circasia , Quindío,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
I Valida Liga Nacional,Campeonato Nacional,19/04/2013,21/04/2013,COLOMBIA,Armenia , Quindío,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
CAPACITACIÓN ENTRENADORES INTERNACIONAL,Concentracion Internacional,29/04/2013,29/04/2013,PERU,Perú,,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
CAPACITACIÓN ENTRENADORES INTERNACIONAL,Concentracion Internacional,29/04/2013,29/04/2013,GUATEMALA,Guatemala ,,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
CAPACITACIÓN ENTRENADORES INTERNACIONAL,Concentracion Internacional,29/04/2013,29/04/2013,BRASIL,Brasil ,,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
CAPACITACIÓN ENTRENADORES INTERNACIONAL,Concentracion Internacional,29/04/2013,29/04/2013,ESPAÑA,España ,,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
CAPACITACIÓN ORGANIZACIÓN DE CAMPEONATOS TOURNAMENT SOFTWARE,Concentración Nacional,30/04/2013,30/04/2013,COLOMBIA,Armenia , Quindío,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
SISTEMA NACIONAL DE ACREDITACIÓN Y CAPACITACIÓN DE ENTRENADORES FCB,Concentración Nacional,02/05/2013,02/05/2013,COLOMBIA,Circasia , Quindío,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
CAPACITACIÓN ADMINISTRACIÓN DEPORTIVA LIGAS Y CLUBES,Concentración Nacional,24/05/2013,24/05/2013,COLOMBIA,Circasia , Quindío,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
ARGENTINA INTERNACIONAL 2013,Concentracion Internacional,06/06/2013,09/06/2013,ARGENTINA,Buenos Aires,,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
CAMPAMENTO DE TALENTOS,Concentración Nacional,18/06/2013,20/06/2013,COLOMBIA,Antioquia ,Antioquia,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
II Valida Nacional,Campeonato Nacional,21/06/2013,23/06/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
XXII PAM AM JUNIOR TEAM EVENT,Concentracion Internacional,21/06/2013,23/06/2013,MEXICO,Puerto Vallarta,,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
LIGA NACIONAL DE ESPAÑA,Concentracion Internacional,23/06/2013,14/07/2013,ESPAÑA,Madrid,,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
XXII PAM AM JUNIOR INDIVIDUAL EVENT,Concentracion Internacional,24/06/2013,28/06/2013,MEXICO,Puerto Vallarta,,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
“IV COLOMBIA INTERNACIONAL”,Concentración Nacional,16/08/2013,18/08/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
CAMPAMENTO DE TALENTOS,Concentración Nacional,16/08/2013,18/08/2013,COLOMBIA,Chía, Cundinamarca,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
GUATEMALA INTERNACIONAL SERIES,Concentracion Internacional,05/09/2013,08/09/2013,GUATEMALA,Guatemala ,,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
I JUEGOS SURAMERICANOS DE LA JUVENTUD,Juegos Suramericanos,14/09/2013,30/09/2013,PERU,Lima,,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
III Valida Liga Nacional,Campeonato Nacional,21/09/2013,23/09/2013,COLOMBIA,Tunja , Boyacá,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
XXVIII BRAZIL INTERNACIONAL 2013,Concentracion Internacional,02/10/2013,06/10/2013,BRASIL,Sao Paulo,,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
CAMPAMENTO DE TALENTOS,Concentración Nacional,09/10/2013,11/10/2013,COLOMBIA,Popayan , Cauca,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
CAMPAMENTO DE TALENTOS,Concentración Nacional,15/10/2013,17/10/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
IV Valida Liga Nacional,Campeonato Nacional,18/10/2013,20/10/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
Campeonato Nacional Junior,Campeonato Nacional,08/11/2013,10/11/2013,COLOMBIA,Cartago , Valle del Cauca,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
XVII JUEGOS DEPORTIVOS BOLIVARIANOS,Juegos Bolivarianos,16/11/2013,30/11/2013,PERU,Trujillo,,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
Copa Sir Arthur Smithyes,Campeonato Nacional,12/12/2013,14/12/2013,COLOMBIA,Popayan , Cauca,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
SISTEMA NACIONAL DE ACREDITACIÓN Y CAPACITACIÓN DE ENTRENADORES FCB,Concentración Nacional,12/12/2013,12/12/2013,COLOMBIA,Popayan , Cauca,FEDERACIÓN COLOMBIANA DE BÁDMINTON,,,,
COPA INVITACIONAL FCB,Campeonato Nacional,01/02/2013,30/11/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE BALONCESTO,,,,
INTERLIGAS CLUBES SSUB-20 FEMENINO,Campeonato Nacional,17/05/2013,24/05/2013,COLOMBIA,Cartago , Valle del Cauca,FEDERACIÓN COLOMBIANA DE BALONCESTO,,,,
INTERLIGAS CLUBES SUB-20 MASCULINO,Campeonato Nacional,24/05/2013,01/06/2013,COLOMBIA,Cartago , Valle del Cauca,FEDERACIÓN COLOMBIANA DE BALONCESTO,,,,
INTERLIGAS CLUBES SUB-23 FEMENINO,Campeonato Nacional,01/06/2013,08/06/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE BALONCESTO,,,,
SURAMERICANO MAYORES FEMENINO,Juegos Suramericanos,03/06/2013,10/06/2013,CHILE,Pendiente,,FEDERACIÓN COLOMBIANA DE BALONCESTO,,,,
CLINICA DE ENTRENADORES II NIVEL,Evento Académico,06/06/2013,09/06/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE BALONCESTO,,,,
INTERLIGAS CLUBES SUB-17 MASCULINO,Campeonato Nacional,21/06/2013,28/06/2013,COLOMBIA,Riohacha , La Guajira,FEDERACIÓN COLOMBIANA DE BALONCESTO,,,,
INTERLIGAS CLUBES MAORES FEMENINO,Juegos Nacionales,28/06/2013,06/07/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE BALONCESTO,,,,
CLINICA DE ARBITROS FIBA AMERICAS,Evento Académico,12/07/2013,15/07/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN COLOMBIANA DE BALONCESTO,,,,
SURAMERICANO DE CLUBES MAYORES FEMENINO,Juegos Suramericanos,21/07/2013,27/07/2013,ARGENTINA,Mendoza,,FEDERACIÓN COLOMBIANA DE BALONCESTO,,,,
INTERLIGAS CLUBES SUB-23 MASCULINO,Campeonato Nacional,26/07/2013,03/08/2013,COLOMBIA,San Andrés,San Andrés y Providencia,FEDERACIÓN COLOMBIANA DE BALONCESTO,,,,
SURAMERICANO SUB-17 MASCULINO,Juegos Suramericanos,05/08/2013,10/08/2013,URUGUAY,Sin Definir,,FEDERACIÓN COLOMBIANA DE BALONCESTO,,,,
PREMUNDIAL MAYORES MASCULINO,Clasificatorio al Mundial,30/08/2013,11/09/2013,VENEZUELA,Caracas,,FEDERACIÓN COLOMBIANA DE BALONCESTO,,,,
INTERLIGAS CLUBES SUB-17 FEMENINO,Campeonato Nacional,30/08/2013,07/09/2013,COLOMBIA,Pasto , Nariño,FEDERACIÓN COLOMBIANA DE BALONCESTO,,,,
SURAMERICANO SUB-17 FEMENINO;Juegos Suramericanos;09/09/2013;15/09/2013;NO DEFINIDO;Sin Definir;;FEDERACIÓN COLOMBIANA DE BALONCESTO;;;;
INTERLIGAS SUB-15 MASCULINO;Campeonato Nacional;13/09/2013;21/09/2013;COLOMBIA;Santa Marta ; Magdalena;FEDERACIÓN COLOMBIANA DE BALONCESTO;;;;
PREMUNDIAL MAYORS FEMENINO;Clasificatorio al Mundial;23/09/2013;29/09/2013;NO DEFINIDO;Sin Definir;;FEDERACIÓN COLOMBIANA DE BALONCESTO;;;;
INTERLIGAS SUB-15 FEMENINO;Campeonato Nacional;05/10/2013;13/10/2013;COLOMBIA;Bucaramanga ; Santander;FEDERACIÓN COLOMBIANA DE BALONCESTO;;;;
MINI-BALONCESTO AMBAS RMAS;Campeonato Nacional;11/10/2013;14/10/2013;COLOMBIA;Cali ; Valle del Cauca;FEDERACIÓN COLOMBIANA DE BALONCESTO;;;;
LIGA SURAMERICANA MAYORES DE CLUBES;Juegos Suramericanos;12/10/2013;19/10/2013;NO DEFINIDO;Sin Definir;;FEDERACIÓN COLOMBIANA DE BALONCESTO;;;;
SURAMERICANO SUB-15 MASCULINO;Juegos Suramericanos;14/10/2013;20/10/2013;ECUADOR;Sin definir;;FEDERACIÓN COLOMBIANA DE BALONCESTO;;;;
JUEGOS BOLIVARIANOS AMBAS RAMAS;Juegos Bolivarianos;04/11/2013;12/11/2013;COLOMBIA;Cúcuta;Norte de Santander;FEDERACIÓN COLOMBIANA DE BALONCESTO;;;;
PASARELLA AMBAS RAMA;Campeonato Nacional;07/11/2013;11/11/2013;COLOMBIA;Popayan ; Cauca;FEDERACIÓN COLOMBIANA DE BALONCESTO;;;;
SURAMERICANO SUB-15 FEMENINO;Juegos Suramericanos;18/11/2013;24/11/2013;NO DEFINIDO;Sin Definir;;FEDERACIÓN COLOMBIANA DE BALONCESTO;;;;
INTERLIGAS INFANTIL MASCULINO;Campeonato Nacional;29/11/2013;07/12/2013;COLOMBIA;Neiva ; Huila;FEDERACIÓN COLOMBIANA DE BALONCESTO;;;;
INTERLIGAS INFANTIL FEMENINO;Juegos Paralimpicos de Verano;29/11/2013;07/12/2013;COLOMBIA;Cúcuta;Norte de Santander;FEDERACIÓN COLOMBIANA DE BALONCESTO;;;;
EVENTO INVITACIONAL;Open Internacional;20/03/2013;27/03/2013;REPÚBLICA DOMINICANA;Bocachica;;FEDERACION COLOMBIANA DE BEISBOL;;;;
MUNDIAL DE CRIOLLITOS;Open Internacional;22/03/2013;29/03/2013;VENEZUELA;Caracas;;FEDERACION COLOMBIANA DE BEISBOL;;;;
SEMINARIO PARA ARBITROS; ANOTADORES Y COMPLILADORES,Evento Académico,01/04/2013,06/04/2013,COLOMBIA,Cartagena , Bolívar,FEDERACION COLOMBIANA DE BEISBOL,,,,
SEMINARIO PARA ARBITROS; DIRIGENTES,Evento Académico,15/04/2013,20/04/2013,COLOMBIA,Acandi , Chocó,FEDERACION COLOMBIANA DE BEISBOL,,,,
SEMINIARIO DE TECNICOS; ARBITROS DE BEISBOL,Evento Académico,13/05/2013,18/05/2013,CURAZAO,Curazao,,FEDERACION COLOMBIANA DE BEISBOL,,,,
CAMPEONATO NACIONAL SUB-18,Campeonato Nacional,30/05/2013,08/06/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACION COLOMBIANA DE BEISBOL,,,,
CAMPEONATO NACIONAL SUB-15,Campeonato Nacional,14/06/2013,22/06/2013,COLOMBIA,Monteria , Córdoba,FEDERACION COLOMBIANA DE BEISBOL,,,,
ESTADIO DE SAN JOSE,Open Internacional,14/06/2013,21/06/2013,COSTA RICA,San José,,FEDERACION COLOMBIANA DE BEISBOL,,,,
TORNEO NACIONAL CATEGORIA INFANTIL AA,Campeonato Nacional,29/06/2013,06/07/2013,COLOMBIA,Sincelejo , Sucre,FEDERACION COLOMBIANA DE BEISBOL,,,,
CAMPEONATO NACIONAL CATEGORIA INFANTIL A,Campeonato Nacional,05/07/2013,13/07/2013,COLOMBIA,Monteria , Córdoba,FEDERACION COLOMBIANA DE BEISBOL,,,,
ESTADIO DE DBRASIL,Open Internacional,11/07/2013,19/07/2013,BRASIL,Sao Paulo,,FEDERACION COLOMBIANA DE BEISBOL,,,,
MUNDIAL SUB-12,Open Internacional,20/07/2013,28/07/2013,CHINA TAPEI,China Tapei,,FEDERACION COLOMBIANA DE BEISBOL,,,,
TORNEO INTERNACIONAL DE DTALENTOS,Open Internacional,20/07/2013,27/07/2013,REPÚBLICA DOMINICANA,Punta Cana,,FEDERACION COLOMBIANA DE BEISBOL,,,,
TORNEO PANAMERICANO SUB- 15,Open Internacional,26/07/2013,04/08/2013,COLOMBIA,Barranquilla ,Atlántico,FEDERACION COLOMBIANA DE BEISBOL,,,,
MUNDIAL SUB-18,Open Internacional,30/08/2013,08/09/2013,CHINA TAPEI,China Tapei,,FEDERACION COLOMBIANA DE BEISBOL,,,,
CAMPEONATO NACIONAL SUB-21,Campeonato Nacional,25/10/2013,08/11/2013,COLOMBIA,Medellín, Antioquia,FEDERACION COLOMBIANA DE BEISBOL,,,,
TORNEO PANAMERICANO SUB-21,Open Internacional,15/11/2013,23/11/2013,PANAMA,Panamá,,FEDERACION COLOMBIANA DE BEISBOL,,,,
JUEGOS BOLIVARIANOS,Juegos Suramericanos,16/11/2013,30/11/2013,PERU,Trujillo,,FEDERACION COLOMBIANA DE BEISBOL,,,,
TORNEO NACIONAL PREPARATORIO,Campeonato Nacional,20/11/2013,29/11/2013,COLOMBIA,Cartagena , Bolívar,FEDERACION COLOMBIANA DE BEISBOL,,,,
XV Torneo Internacional de Billar a Tres Bandas Individual Feria de Manizales,Grand Prix Internacional,02/01/2013,06/01/2013,COLOMBIA,Manizales ,Caldas,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Copa Mundo de Billar a Tres Bandas Individual,Copa Mundo,06/02/2013,10/02/2013,TURQUIA,Antalya,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Campeonato Mundial de Billar a Tres Bandas por Equipos,Campeonato Mundial,21/02/2013,24/02/2013,ALEMANIA,Viersen,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
12 Campeonato Nacional Sub-20 de Billar a Tres Bandas Individual,Campeonato Nacional,20/03/2013,24/03/2013,COLOMBIA,La Mesa , Cundinamarca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
55º Campeonato Nacional de Billar a Tres Bandas Individual Mayores,Campeonato Nacional,20/03/2013,24/03/2013,COLOMBIA,La Mesa , Cundinamarca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
V Campeonato Nacional de Billar Pool Bola 9 Individual Femenino,Campeonato Nacional,16/05/2013,19/05/2013,COLOMBIA,Ibague , Tolima,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
XI Campeonato Nacional de Billar Pool Bola 9 Individual Masculino,Campeonato Nacional,16/05/2013,19/05/2013,COLOMBIA,Ibague , Tolima,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Grand Prix Panamericano de Billar a Tres Bandas Individual,Grand Prix Internacional,06/06/2013,09/06/2013,VENEZUELA,San Cristóbal,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Primera Parada Ranking Nacional de Billar a Tres Bandas Individual,Torneo Abierto,19/06/2013,22/06/2013,COLOMBIA,Cali , Valle del Cauca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Campeonato Panamericano Juvenil de Billar a Tres Bandas Individual,Clasificatorio al Mundial,23/06/2013,25/06/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Campeonato Panamericano de Billar a Tres Bandas por Equipos,Clasificatorio al Mundial,23/06/2013,25/06/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Campeonato Panamericano de Billar a Tres Bandas Individual,Clasificatorio al Mundial,26/06/2013,29/06/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
XII Campeonato Panamericano de Billar Pool Bola 9 Individual Femenino,Clasificatorio al Mundial,08/07/2013,15/07/2013,BONAIRE,Bonaire ,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
XV Campeonato Panamericano de Billar Pool Bola 9 Individual Masculino,Clasificatorio al Mundial,08/07/2013,15/07/2013,BONAIRE,Bonaire ,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Juegos Mundiales Billar a Tres Bandas Individual,Juegos Mundiales,26/07/2013,30/07/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Juegos Mundiales Billar Pool Bola 9 Individual Femenino,Juegos Mundiales,26/07/2013,30/07/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Juegos Mundiales Billar Pool Bola 9 Individual Masculino,Juegos Mundiales,26/07/2013,30/07/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
VI Campeonato Nacional de Billar a Carambola Libre Femenino,Campeonato Nacional,15/08/2013,18/08/2013,COLOMBIA,Ibague , Tolima,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
IV Campeonato Nacional de Billar a Carambola Libre Masculino,Campeonato Nacional,15/08/2013,18/08/2013,COLOMBIA,Ibague , Tolima,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Segunda Parada Ranking Nacional de Billar a Tres Bandas Individual,Torneo Abierto,15/08/2013,18/08/2013,COLOMBIA,Ibague , Tolima,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Copa Mundo de Billar a Tres Bandas Individual,Copa Mundo,03/09/2013,08/09/2013,KOREA,Suwon,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Tercera Parada Ranking Nacional de Billar a Tres Bandas Individual,Torneo Abierto,18/09/2013,22/09/2013,COLOMBIA,Chía, Cundinamarca,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Campeonato Mundial Juvenil de Billar a Tres Bandas Individual,Campeonato Mundial,01/10/2013,07/10/2013,GRECIA,Atenas,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Campeonato Mundial de Billar a Tres Bandas Individual Mayores,Campeonato Mundial,14/10/2013,20/10/2013,BELGICA,Antwerp,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Parada Ranking Nacional de Billar Pool Bola 9 Individual Femenino,Torneo Abierto,24/10/2013,27/10/2013,COLOMBIA,Sincelejo , Sucre,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Parada Ranking Nacional de Billar Pool Bola 9 Individual Masculino,Torneo Abierto,24/10/2013,27/10/2013,COLOMBIA,Sincelejo , Sucre,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Cuarta Parada Ranking Nacional de Billar a Tres Bandas Individual,Torneo Abierto,07/11/2013,10/11/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
X Campeonato Nacional de Billar a Tres Bandas por Equipos,Campeonato Nacional,10/11/2013,11/11/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Juegos Bolivarianos Tres Bandas Individual,Juegos Bolivarianos,17/11/2013,20/11/2013,PERU,Trujillo,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
Juegos Bolivarianos Pool Bola 9 Individual Femenino,Juegos Bolivarianos,17/11/2013,20/11/2013,PERU,Trujillo,,FEDERACIÓN COLOMBIANA DE BILLAR,,,,
