Subject,Start Date,End Date,Description,Location,País,Territorio,Entidad
Campeonato Mundial Mayores - Hockey,08/23/2013,08/23/2013,Campeonato Mundial,Eger,HUNGRIA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Campeonato Mundial Juvenil - Hockey,08/23/2013,08/23/2013,Campeonato Mundial,Eger,HUNGRIA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Panamericano -Pesca Submarina,09/10/2013,09/15/2013,Juegos Panamericanos,Miami,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
3 Ronda Copa Mundo Orientacion,09/12/2013,09/13/2013,Copa Mundo,Lake Lepenice,CROACIA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
4 Ronda Copa Mundo Orientacion,09/19/2013,09/22/2013,Copa Mundo,Bad Saag Woeter,AUSTRALIA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Nacional Interclubes por Categoria,09/27/2013,09/30/2013,Campeonato Nacional,San Andrés,COLOMBIA,San Andrés y Providencia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Final Copa Mundo - N.A y L.D,09/28/2013,09/30/2013,Copa Mundo,Geneva,SUIZA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Nacional Interclubes de Velocidad y Universitario,10/11/2013,10/14/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
I Parada Nacional Interclubes. Ascenso,10/11/2013,10/14/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
3 Copa Internacional - N.A y L.D,10/12/2013,10/17/2013,Copa Mundo,La Habana,CUBA,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
I Parada Nacional Interclubes. Elite,11/01/2013,11/04/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Nacional Interclubes,11/02/2013,11/04/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Iberica Copa Abierta- Hockey,11/16/2013,11/17/2013,Copa Mundo,Lisboa,PORTUGAL,,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Nacional Interclubes Juvenil y Mayores,12/06/2013,12/08/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Campeonato Invitacional,12/06/2013,12/08/2013,Campeonato Nacional,Pereira ,COLOMBIA, Risaralda,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
Curso Nacional de Entrenadores Natacion Aletas y Rugby,12/06/2013,12/09/2013,Evento Académico,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ACTIVIDADES SUBACUÁTICAS
NACIONAL AMATEUR,03/13/2013,03/17/2013,Campeonato Nacional,San Andrés,COLOMBIA,San Andrés y Providencia,FEDERACIÓN COLOMBIANA DE AJEDREZ
Mundial Amateur,04/21/2013,05/01/2013,Juegos Mundiales,Lasi,RUMANIA,,FEDERACIÓN COLOMBIANA DE AJEDREZ
Final Nacional Sub 8 y Sub 14,04/26/2013,05/01/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE AJEDREZ
Mundial Escolar Sub 7-17,05/06/2013,05/15/2013,Juegos Mundiales,Halkidiki,GRECIA,,FEDERACIÓN COLOMBIANA DE AJEDREZ
Continental Absoluto,05/07/2013,05/15/2013,Campeonato Latinoamericano,Cochabamba,BOLIVIA,,FEDERACIÓN COLOMBIANA DE AJEDREZ
Suramericano Sub-20,05/17/2013,05/23/2013,Juegos Suramericanos de la Juventud,Asunción,PARAGUAY,,FEDERACIÓN COLOMBIANA DE AJEDREZ
Final Nacional Sub 12 y Sub 18,05/29/2013,06/03/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE AJEDREZ
IRT Fonducar Sub 16-Fondo de empleados Docentes Universidad Cartagena,05/30/2013,06/03/2013,Campeonato Nacional,Cartagena ,COLOMBIA, Bolívar,FEDERACIÓN COLOMBIANA DE AJEDREZ
Zonal Americano absoluto 2.3,05/31/2013,06/07/2013,Open Internacional,San José,COSTA RICA,,FEDERACIÓN COLOMBIANA DE AJEDREZ
